Palavra_1;Palavra_2;Google;CB_100_5;CB_100_10;CB_200_5;CB_200_10;CB_300_5;CB_300_10;SK_100_5;SK_100_10;SK_200_5;SK_200_10;SK_300_5;SK_300_10;CB_100_5_S;CB_100_10_S;CB_200_5_S;CB_200_10_S;CB_300_5_S;CB_300_10_S;SK_100_5_S;SK_100_10_S;SK_200_5_S;SK_200_10_S;SK_300_5_S;SK_300_10_S
think;country;0,153802;0,039779;-0,035137;0,074162;-0,003825;0,007799;0,007776;0,308347;0,278521;0,265997;0,218856;0,144064;0,142319;-0,004141;0,022444;-0,000490;0,008828;0,005746;0,020226;0,203604;0,214934;0,168885;0,154497;0,139928;0,116228
place;somewhere;0,292511;0,405994;0,392370;0,341934;0,333649;0,338287;0,346677;0,457868;0,530413;0,401226;0,315115;0,298184;0,292150;0,340497;0,314146;0,327337;0,310373;0,305407;0,283193;0,479737;0,476263;0,339391;0,342399;0,351971;0,278558
place;region;0,144128;0,154670;0,198440;0,154610;0,187945;0,153236;0,179494;0,346380;0,399468;0,253470;0,290793;0,187885;0,196526;0,360837;0,363431;0,316411;0,259838;0,304829;0,275027;0,348814;0,452310;0,279375;0,339550;0,199011;0,244914
place;spot;0,522355;0,350542;0,336310;0,362961;0,330072;0,321340;0,314028;0,493577;0,521784;0,448836;0,423499;0,362847;0,327229;0,516172;0,446366;0,453886;0,412310;0,431820;0,422967;0,562125;0,498703;0,463834;0,501772;0,392623;0,362118
place;location;0,327340;0,346807;0,395257;0,359889;0,350625;0,347832;0,340574;0,498186;0,461705;0,397043;0,411650;0,309876;0,323558;0,496684;0,496181;0,410006;0,396863;0,388583;0,390760;0,527343;0,581686;0,408013;0,399391;0,304395;0,335898
place;money;0,187803;0,109441;0,084277;0,100363;0,071050;0,093303;0,082241;0,221563;0,231358;0,151155;0,178951;0,133129;0,202436;0,259057;0,174192;0,167358;0,161484;0,158357;0,124755;0,248268;0,261534;0,190070;0,163581;0,166522;0,174078
place;woman;0,085205;-0,014783;-0,039423;-0,006214;-0,018363;-0,013350;-0,032950;0,252915;0,251054;0,135823;0,179355;0,097286;0,077096;0,163140;0,145720;0,087991;0,087744;0,104021;0,044845;0,270644;0,273013;0,156365;0,170243;0,106960;0,122515
woman;man;0,766401;0,515662;0,520458;0,382867;0,339073;0,367846;0,353750;0,578670;0,507302;0,395175;0,390856;0,302493;0,314504;0,556943;0,505811;0,456440;0,431647;0,438284;0,384201;0,596334;0,556621;0,447019;0,478928;0,321963;0,414523
woman;girl;0,749464;0,521608;0,507373;0,449622;0,460003;0,427867;0,431141;0,574927;0,597090;0,442131;0,517698;0,351750;0,357957;0,689735;0,699675;0,564734;0,565018;0,534524;0,533820;0,702825;0,629611;0,560260;0,554540;0,418146;0,445005
woman;adult;0,273018;0,562304;0,504507;0,533094;0,463736;0,481940;0,442367;0,537717;0,528947;0,340909;0,365037;0,274554;0,236201;0,646862;0,639151;0,596646;0,554196;0,542342;0,512651;0,629428;0,583929;0,493219;0,398037;0,328301;0,314091
woman;mother;0,607631;0,368649;0,315281;0,272008;0,275609;0,244335;0,264800;0,422090;0,442561;0,287793;0,325981;0,203918;0,224381;0,393206;0,344293;0,305273;0,304554;0,322448;0,280024;0,438776;0,404141;0,334704;0,334729;0,262068;0,255547
woman;september;0,041463;0,025335;0,027526;0,006109;0,034955;0,018860;0,006231;0,271158;0,315133;0,153664;0,213419;0,113593;0,112482;0,001055;0,046100;0,000553;0,000705;0,009570;0,027684;0,209598;0,250082;0,158828;0,186863;0,094062;0,137546
woman;industry;0,024721;0,011989;-0,016665;-0,011582;0,007720;-0,024816;-0,003925;0,212708;0,247716;0,191794;0,164068;0,106057;0,128262;0,043998;0,048388;0,035809;0,023306;0,051777;-0,013843;0,254072;0,280530;0,198015;0,161617;0,172268;0,124839
like;prefer;0,420391;0,477192;0,502778;0,401929;0,425197;0,385971;0,429587;0,492671;0,437858;0,348293;0,353943;0,294223;0,305436;0,500160;0,440018;0,420314;0,402804;0,404249;0,379851;0,487730;0,541466;0,425855;0,420360;0,330400;0,320257
like;girl;0,064093;-0,072999;-0,018214;-0,024737;-0,067372;-0,023601;-0,039984;0,167356;0,191051;0,125903;0,099291;0,128557;0,098829;-0,025978;-0,061758;-0,031842;-0,029323;-0,026839;-0,039844;0,156711;0,192467;0,071534;0,131489;0,093615;0,081099
like;adult;0,107100;0,049387;0,101339;0,046033;0,079897;0,049543;0,067985;0,268658;0,258238;0,125392;0,173005;0,171167;0,221224;0,030820;0,048967;0,027800;0,067381;0,051004;0,077421;0,169653;0,248941;0,144703;0,217512;0,151608;0,134602
like;mother;0,038473;-0,078717;-0,040231;-0,068723;-0,061024;-0,018947;-0,031669;0,157756;0,206469;0,140150;0,154841;0,090275;0,148253;-0,131262;-0,110897;-0,130680;-0,075549;-0,111670;-0,091591;0,118409;0,190259;0,072580;0,082847;0,021604;0,104572
like;september;0,011633;-0,228659;-0,230022;-0,190613;-0,168331;-0,165740;-0,152648;0,177165;0,124346;0,146003;0,121505;0,097981;0,151856;-0,196605;-0,254081;-0,216275;-0,194853;-0,195937;-0,201527;0,200085;0,131717;0,072712;0,062454;0,047873;0,085160
like;industry;0,086760;0,104190;0,062841;0,070205;0,029925;0,058175;0,024701;0,336172;0,367777;0,246401;0,249114;0,185944;0,222985;0,044106;0,022566;0,044584;0,012219;0,055824;0,023310;0,280780;0,337830;0,205886;0,216652;0,131560;0,203533
